year,indicator,channel_code,mapped_name,purpose_name,share
2015,multilateral_purpose_spending_shares,42004,european investment bank,"Industry, Mining, Construction",0.046161857987695294
2015,multilateral_purpose_spending_shares,42004,european investment bank,Multi-sector,0.03674313067432131
2015,multilateral_purpose_spending_shares,42004,european investment bank,"Social infrastructure, protection and services",0.014280987500210417
2015,multilateral_purpose_spending_shares,42004,european investment bank,Trade Policies & Regulations,0.0006120554764070395
2015,multilateral_purpose_spending_shares,42004,european investment bank,Transport & Storage and communications,0.22803798902163827
2015,multilateral_purpose_spending_shares,42004,european investment bank,Unallocated/ Unspecificed,0.07149296433310984
2015,multilateral_purpose_spending_shares,42004,european investment bank,Water Supply & Sanitation,0.030546729221599865
2015,multilateral_purpose_spending_shares,42004,european investment bank,,0.0073344380821192875
2015,multilateral_purpose_spending_shares,43001,international monetary fund poverty reduction and growth trust,Action Relating to Debt,0.030432243882383005
2015,multilateral_purpose_spending_shares,43001,international monetary fund poverty reduction and growth trust,General Budget Support,0.969567756117617
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Action Relating to Debt,3.793836621908775e-08
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Agriculture and Forestry & Fishing,0.041984056412763926
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Banking & Financial Services and Business,0.1323933048597559
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Civil society,0.0141206528249161
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Conflict Peace and Security,9.050432673989667e-05
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Education,0.04421302585763594
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Energy,0.1282302435557178
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Environment Protection,0.011568012675579678
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,General Budget Support,0.010969505084169905
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Government,0.1566006638161581
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Health,0.032869726016286405
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Humanitarian,0.009190091718460103
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,"Industry, Mining, Construction",0.03292978548508052
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Multi-sector,0.035111974375724414
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Other,3.85220333916891e-05
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,"Social infrastructure, protection and services",0.08361811392605274
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Trade Policies & Regulations,0.0070134537555500915
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Transport & Storage and communications,0.16666685680921853
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,Water Supply & Sanitation,0.07830276552781078
2015,multilateral_purpose_spending_shares,44002,international development association,Action Relating to Debt,0.016258212948373648
2015,multilateral_purpose_spending_shares,44002,international development association,Agriculture and Forestry & Fishing,0.0914428248326567
2015,multilateral_purpose_spending_shares,44002,international development association,Banking & Financial Services and Business,0.05827651040281794
2015,multilateral_purpose_spending_shares,44002,international development association,Civil society,0.005764737540957582
2015,multilateral_purpose_spending_shares,44002,international development association,Conflict Peace and Security,0.0016280830631297029
2015,multilateral_purpose_spending_shares,44002,international development association,Education,0.10324997046087282
2015,multilateral_purpose_spending_shares,44002,international development association,Energy,0.11518730836357272
2015,multilateral_purpose_spending_shares,44002,international development association,Environment Protection,0.006510613577475427
2015,multilateral_purpose_spending_shares,44002,international development association,General Budget Support,0.0013668328886513284
2015,multilateral_purpose_spending_shares,44002,international development association,Government,0.11020418799135052
2015,multilateral_purpose_spending_shares,44002,international development association,Health,0.07912757421755884
2015,multilateral_purpose_spending_shares,44002,international development association,Humanitarian,0.02491810397676428
2015,multilateral_purpose_spending_shares,44002,international development association,"Industry, Mining, Construction",0.022036493028695005
2015,multilateral_purpose_spending_shares,44002,international development association,Multi-sector,0.06843304399729351
2015,multilateral_purpose_spending_shares,44002,international development association,Other,0.0023004085278077757
2015,multilateral_purpose_spending_shares,44002,international development association,"Social infrastructure, protection and services",0.0709432345377071
2015,multilateral_purpose_spending_shares,44002,international development association,Trade Policies & Regulations,0.01257651129896099
2015,multilateral_purpose_spending_shares,44002,international development association,Transport & Storage and communications,0.13324604609001922
2015,multilateral_purpose_spending_shares,44002,international development association,Unallocated/ Unspecificed,1.0300532781095364e-05
2015,multilateral_purpose_spending_shares,44002,international development association,Water Supply & Sanitation,0.06804046590471925
2015,multilateral_purpose_spending_shares,46000,regional development bank,Agriculture and Forestry & Fishing,0.10774941214925433
2015,multilateral_purpose_spending_shares,46000,regional development bank,Banking & Financial Services and Business,0.15938660168680285
2015,multilateral_purpose_spending_shares,46000,regional development bank,Education,0.0003730374902677719
2015,multilateral_purpose_spending_shares,46000,regional development bank,Energy,0.1335877589031031
2015,multilateral_purpose_spending_shares,46000,regional development bank,Environment Protection,0.0014168090559767922
2015,multilateral_purpose_spending_shares,46000,regional development bank,Government,0.10084296805162252
2015,multilateral_purpose_spending_shares,46000,regional development bank,Health,0.022950306505803833
2015,multilateral_purpose_spending_shares,46000,regional development bank,"Industry, Mining, Construction",0.029783409899361554
2015,multilateral_purpose_spending_shares,46000,regional development bank,Multi-sector,0.14320314191576253
2015,multilateral_purpose_spending_shares,46000,regional development bank,"Social infrastructure, protection and services",0.003172652184877914
2015,multilateral_purpose_spending_shares,46000,regional development bank,Trade Policies & Regulations,0.04940521522413002
2015,multilateral_purpose_spending_shares,46000,regional development bank,Transport & Storage and communications,0.22041281815489122
2015,multilateral_purpose_spending_shares,46000,regional development bank,Water Supply & Sanitation,0.015869678235996054
2015,multilateral_purpose_spending_shares,46002,african development bank,Action Relating to Debt,0.0452815442219592
2015,multilateral_purpose_spending_shares,46002,african development bank,Agriculture and Forestry & Fishing,0.03217044603992993
2015,multilateral_purpose_spending_shares,46002,african development bank,Banking & Financial Services and Business,0.24032468948084212
2015,multilateral_purpose_spending_shares,46002,african development bank,Education,0.02008866463693913
2015,multilateral_purpose_spending_shares,46002,african development bank,Energy,0.2887380631544115
2015,multilateral_purpose_spending_shares,46002,african development bank,Environment Protection,8.220860679621217e-06
2015,multilateral_purpose_spending_shares,46002,african development bank,General Budget Support,0.0896008281646239
2015,multilateral_purpose_spending_shares,46002,african development bank,Government,0.0032002047185217416
2015,multilateral_purpose_spending_shares,46002,african development bank,Health,0.0017713032098050508
2015,multilateral_purpose_spending_shares,46002,african development bank,Humanitarian,0.00503445116855038
2015,multilateral_purpose_spending_shares,46002,african development bank,"Industry, Mining, Construction",0.03237025248916795
2015,multilateral_purpose_spending_shares,46002,african development bank,Multi-sector,0.03765039966176335
2015,multilateral_purpose_spending_shares,46002,african development bank,"Social infrastructure, protection and services",0.0003303826039940675
2015,multilateral_purpose_spending_shares,46002,african development bank,Trade Policies & Regulations,0.0023570879983212476
2015,multilateral_purpose_spending_shares,46002,african development bank,Transport & Storage and communications,0.16727503543005887
2015,multilateral_purpose_spending_shares,46002,african development bank,Water Supply & Sanitation,0.0337984261604319
2015,multilateral_purpose_spending_shares,46003,african development fund,Action Relating to Debt,0.0001342432088879274
2015,multilateral_purpose_spending_shares,46003,african development fund,Agriculture and Forestry & Fishing,0.07588621483864397
2015,multilateral_purpose_spending_shares,46003,african development fund,Banking & Financial Services and Business,0.013815733305912452
2015,multilateral_purpose_spending_shares,46003,african development fund,Civil society,0.000278772335875381
2015,multilateral_purpose_spending_shares,46003,african development fund,Education,0.03833808568137474
2015,multilateral_purpose_spending_shares,46003,african development fund,Energy,0.14835719208299591
2015,multilateral_purpose_spending_shares,46003,african development fund,Environment Protection,0.010614205457458444
2015,multilateral_purpose_spending_shares,46003,african development fund,General Budget Support,0.11082400354137818
2015,multilateral_purpose_spending_shares,46003,african development fund,Government,0.03381162977134432
2015,multilateral_purpose_spending_shares,46003,african development fund,Health,0.04855848814873656
2015,multilateral_purpose_spending_shares,46003,african development fund,Humanitarian,0.002053123462569251
2015,multilateral_purpose_spending_shares,46003,african development fund,"Industry, Mining, Construction",0.0016445835706268826
2015,multilateral_purpose_spending_shares,46003,african development fund,Multi-sector,0.083217506998018
2015,multilateral_purpose_spending_shares,46003,african development fund,Other,0.00042069616032984247
2015,multilateral_purpose_spending_shares,46003,african development fund,"Social infrastructure, protection and services",0.0074370428972599205
2015,multilateral_purpose_spending_shares,46003,african development fund,Transport & Storage and communications,0.29770005892289175
2015,multilateral_purpose_spending_shares,46003,african development fund,Water Supply & Sanitation,0.12690841961569643
2015,multilateral_purpose_spending_shares,46004,asian development bank,Action Relating to Debt,0.0005525749136183324
2015,multilateral_purpose_spending_shares,46004,asian development bank,Agriculture and Forestry & Fishing,0.038854220992252164
2015,multilateral_purpose_spending_shares,46004,asian development bank,Banking & Financial Services and Business,0.07106969815516925
2015,multilateral_purpose_spending_shares,46004,asian development bank,Civil society,1.5657269446596538e-05
2015,multilateral_purpose_spending_shares,46004,asian development bank,Education,0.03337539913106108
2015,multilateral_purpose_spending_shares,46004,asian development bank,Energy,0.17453081974974852
2015,multilateral_purpose_spending_shares,46004,asian development bank,Environment Protection,0.0002927145732577904
2015,multilateral_purpose_spending_shares,46004,asian development bank,Government,0.11723710003939068
