year,indicator,channel_code,mapped_name,share
2015,multilateral_purpose_spending_shares,44002,international development association,0.004335067705155138
2015,multilateral_purpose_spending_shares,46003,african development fund,0.00023668813560954175
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0
2015,multilateral_purpose_spending_shares,46024,council of europe development bank,0.018557150766923592
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.010896015917706002
2015,multilateral_purpose_spending_shares,,,0.0024936206288174315
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.0016086120418796878
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.031541721468561774
2015,multilateral_purpose_spending_shares,41140,world food programme,0.05309611762031366
2015,multilateral_purpose_spending_shares,41301,food and agricultural organisation,0.05089225999070511
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.025039078003276385
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.005571264544883627
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.001230182400647351
2015,multilateral_purpose_spending_shares,44002,international development association,0.006437564255403789
2015,multilateral_purpose_spending_shares,46003,african development fund,0.0
2015,multilateral_purpose_spending_shares,46004,asian development bank,0.0001340523728642289
2015,multilateral_purpose_spending_shares,46012,inter american development bank inter american investment corporation and multilateral investment fund,6.940059299951866e-05
2015,multilateral_purpose_spending_shares,46013,inter american development bank fund for special operations,0.00020644392547179902
2015,multilateral_purpose_spending_shares,47142,opec fund for international development,0.0
2015,multilateral_purpose_spending_shares,,,0.00038652263729765127
2015,multilateral_purpose_spending_shares,41114,united nations development programme,0.0028758093972922555
2015,multilateral_purpose_spending_shares,41122,united nations children’s fund,0.018310117015003142
2015,multilateral_purpose_spending_shares,41307,world health organisation assessed contributions,0.10102150006351175
2015,multilateral_purpose_spending_shares,42001,european commission development share of budget,0.003978252769565047
2015,multilateral_purpose_spending_shares,44001,international bank for reconstruction and development,0.000767885217307554
2015,multilateral_purpose_spending_shares,44002,international development association,0.017562090564786553
2015,multilateral_purpose_spending_shares,46002,african development bank,0.00046560538031123537
2015,multilateral_purpose_spending_shares,46003,african development fund,0.03186753182754256
